id,name,slug,table_name,icon,status,is_module,config,is_protected
12,Setting,settings,app_settings,"fa fa-gears",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""default_language"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""select"",""validations"":""required|exists:locales,code"",""inIndex"":true,""searchable"":true},{""name"":""email"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""email"",""validations"":""required|email"",""inIndex"":true,""searchable"":true},{""name"":""logo"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required|image|mimetypes:text\/plain,..."",""inIndex"":true,""searchable"":true},{""name"":""phone"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""latitude"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""number"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""longitude"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""number"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""playstore"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""appstore"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""social_links"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""app_version"",""primary"":false,""dbType"":""float"",""fillable"":true,""inForm"":true,""htmlType"":""number"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""force_update"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""checkbox"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
13,Project,projects,projects,"fa fa-product-hunt",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""user_id"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""category_id"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""name"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
14,Description,descriptions,descriptions,"fa fa-info-circle",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""project_id"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""details"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""attachment"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
15,ProjectType,project-types,project_type,"fa fa-file-o",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""project_id"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""type"",""primary"":false,""dbType"":""boolean"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
16,ProjectAttribute,project-attributes,project_attribute,"fa fa-folder-open",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""instance_id"",""primary"":false,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""instance_type"",""primary"":false,""dbType"":""string,255"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""content"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""amount"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""attachment"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
17,Question,questions,questions,"fa fa-glass",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""project_id"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""question"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""profile"",""primary"":false,""dbType"":""boolean"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
18,Expertise,expertises,expertise,"fa fa-hand-o-left",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""name"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
19,Budget,budgets,budget,"fa fa-money",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""project_id"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""type"",""primary"":false,""dbType"":""boolean"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
20,Category,categories,categories,"fa fa-glass",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""name"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
21,Order,orders,orders,"fa fa-shopping-cart",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""user_id"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""name"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""amount"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""discount"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
22,Customer,customers,users,"fa fa-users",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""name"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""email"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""password"",""primary"":false,""dbType"":""string,191"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""remember_token"",""primary"":false,""dbType"":""string,100"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
